web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,image3,image4,image5,image6
"1774838780-11","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Parlante Barra De Sonido Para Pc Y Tv Negro Trust Asto Usb","59","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_778427-MLV86301352964_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_778427-MLV86301352964_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_849109-MLV86619471071_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_910664-MLV86619471117_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_804028-MLV86619471161_062025-E.webp"
"1774838780-12","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Refrigeracion Liquida Deepcool R-le520 Bkammnt-g-1 2 Fan","114","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_740491-MLV86618804105_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_740491-MLV86618804105_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_743414-MLV86301007292_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_923706-MLV86300783900_062025-E.webp",""
"1774838780-13","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Router Tp-link Dual Banda Wifi Ac1200 1gb Puerto Gpon Fibra","99","98","US$","",",","","https://http2.mlstatic.com/D_Q_NP_2X_766382-MLV88763829109_072025-E.webp","","","",""
"1774838780-14","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Monitor Checkpoint 27  2k Pro Gaming 2560x1440p 180hz","313","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_831069-MLV86677802235_062025-E.webp","","","",""
"1774838780-15","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Case Eagle Gaming Gabinete Para Pc","127","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_846471-MLV100511687892_122025-E.webp","","","",""
"1774838780-16","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Notebook Hdc 14.1  Hd Cel N4020 4gb Ram 128gb Ssd Blue","329","90","US$","",",","","https://http2.mlstatic.com/D_Q_NP_2X_646410-MLV88186459513_072025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_646410-MLV88186459513_072025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_984120-MLV87850256496_072025-E.webp","",""
"1774838780-17","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Powerbank Trust Redoh Xxl 50k 50000mah / 18w   4 Puertos Usb","113","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_764827-MLV89973865307_082025-E.webp","","","",""
"1774838780-18","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Volante De Carrera Logitech G920 Playstation","537","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_979286-MLV95116180339_102025-E.webp","","","",""
"1774838780-19","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Monitor Checkpoint 32  Curvo 2k Pro Gaming 180hz Cp-mo-1006","427","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_696219-MLV86678249691_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_696219-MLV86678249691_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_662816-MLV86359945250_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_619646-MLV86678556375_062025-E.webp",""
"1774838780-20","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Corneta Trust Tytan 120w Alámbrica Y Subwoofer Para Pc","155","30","US$","",",","https://http2.mlstatic.com/D_Q_NP_2X_850692-MLV86620732567_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_717982-MLV86620938643_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_717982-MLV86620938643_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_688835-MLV86620653907_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_785481-MLV86620938719_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_847736-MLV86620958493_062025-E.webp"
